form	lemma	id	pos	pers	num	tense	mood	voice	gend	case	degree
ἐν	ἐν	12	r	-	-	-	-	-	-	-	-
ᾧ	ὅς	13	p	-	s	-	-	-	n	d	-
ἔλεγον	λέγω3	14	v	3	p	i	i	a	-	-	-
ὡς	ὡς	15	c	-	-	-	-	-	-	-	-
χρῆν	χρή	16	v	3	s	i	i	a	-	-	-
ὑμᾶς	σύ	17	p	-	p	-	-	-	m	a	-
εὐλαβεῖσθαι	εὐλαβέομαι	18	v	-	-	p	n	e	-	-	-
μὴ	μή	19	c	-	-	-	-	-	-	-	-
ὑπʼ	ὑπό	20	r	-	-	-	-	-	-	-	-
ἐμοῦ	ἐγώ	21	p	1	s	-	-	-	m	g	-
ἐξαπατηθῆτε	ἐξαπατάω	22	v	2	p	a	s	p	-	-	-
ὡς	ὡς	23	d	-	-	-	-	-	-	-	-
δεινοῦ	δεινός	24	a	-	s	-	-	-	m	g	-
ὄντος	εἰμί	25	v	-	s	p	p	a	m	g	-
λέγειν	λέγω3	26	v	-	-	p	n	a	-	-	-
.	punc1	27	u	-	-	-	-	-	-	-	-

τὸ	ὁ	1	l	-	s	-	-	-	n	a	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
μὴ	μή	3	d	-	-	-	-	-	-	-	-
αἰσχυνθῆναι	αἰσχύνω	4	v	-	-	a	n	p	-	-	-
ὅτι	ὅτι2	5	c	-	-	-	-	-	-	-	-
αὐτίκα	αὐτίκα	6	d	-	-	-	-	-	-	-	-
ὑπʼ	ὑπό	7	r	-	-	-	-	-	-	-	-
ἐμοῦ	ἐγώ	8	p	1	s	-	-	-	m	g	-
ἐξελεγχθήσονται	ἐξελέγχω	9	v	3	p	f	i	p	-	-	-
ἔργῳ	ἔργον	10	n	-	s	-	-	-	n	d	-
,	punc1	11	u	-	-	-	-	-	-	-	-
ἐπειδὰν	ἐπειδάν	12	c	-	-	-	-	-	-	-	-
μη	μη	13	d	-	-	-	-	-	-	-	_
-δʼ	δέ	14	d	-	-	-	-	-	-	-	_
ὁπωστιοῦν	ὁπωσοῦν	15	d	-	-	-	-	-	-	-	_
φαίνωμαι	φαίνω	16	v	1	s	p	s	e	-	-	-
δεινὸς	δεινός	17	a	-	s	-	-	-	m	n	-
λέγειν	λέγω3	18	v	-	-	p	n	a	-	-	-
,	punc1	19	u	-	-	-	-	-	-	-	-
τοῦτό	οὗτος	20	a	-	s	-	-	-	n	n	_
μοι	ἐγώ	21	p	1	s	-	-	-	m	d	-
ἔδοξεν	δοκέω	22	v	3	s	a	i	a	-	-	-
αὐτῶν	αὐτός	23	p	-	p	-	-	-	n	g	-
ἀναισχυντότατον	ἀναίσχυντος	24	a	-	s	-	-	-	n	a	s
εἶναι	εἰμί	25	v	-	-	p	n	a	-	-	-
,	punc1	26	u	-	-	-	-	-	-	-	-
εἰ	εἰ	27	c	-	-	-	-	-	-	-	-
μὴ	μή	28	d	-	-	-	-	-	-	-	-
ἄρα	ἄρα	29	d	-	-	-	-	-	-	-	-
δεινὸν	δεινός	30	a	-	s	-	-	-	m	a	-
καλοῦσιν	καλέω	31	v	3	p	p	i	a	-	-	-
οὗτοι	οὗτος	32	p	-	p	-	-	-	m	n	-
λέγειν	λέγω2	33	v	-	-	p	n	a	-	-	-
τὸν	ὁ	34	l	-	s	-	-	-	m	a	-
τ-	ὁ	35	l	-	s	-	-	-	n	a	-
ἀληθῆ	ἀληθής	36	a	-	p	-	-	-	n	a	-
λέγοντα	λέγω3	37	v	-	s	p	p	a	m	a	-
·	punc1	38	u	-	-	-	-	-	-	-	-

εἰ	εἰ	1	c	-	-	-	-	-	-	-	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	3	d	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	4	p	-	s	-	-	-	n	a	-
λέγουσιν	λέγω3	5	v	3	p	p	i	a	-	-	-
,	punc1	6	u	-	-	-	-	-	-	-	-
ὁμολογοίην	ὁμολογέω	7	v	1	s	p	o	a	-	-	-
ἂν	ἄν1	8	d	-	-	-	-	-	-	-	-
ἔγωγε	ἐγώ	9	p	1	s	-	-	-	m	n	-
οὐ	οὐ	10	d	-	-	-	-	-	-	-	_
κατὰ	κατά	11	r	-	-	-	-	-	-	-	-
τούτους	οὗτος	12	p	-	p	-	-	-	m	a	-
εἶναι	εἰμί	13	v	-	-	p	n	a	-	-	-
ῥήτωρ	ῥήτωρ	14	n	-	s	-	-	-	m	n	-
.	punc1	15	u	-	-	-	-	-	-	-	-

οὗτοι	οὗτος	1	p	-	p	-	-	-	m	n	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
,	punc1	4	u	-	-	-	-	-	-	-	-
ὥσπερ	ὥσπερ	5	c	-	-	-	-	-	-	-	-
ἐγὼ	ἐγώ	6	p	1	s	-	-	-	m	n	-
λέγω	λέγω3	7	v	1	s	p	i	a	-	-	-
,	punc1	8	u	-	-	-	-	-	-	-	-
ἤ	ἤ	9	d	-	-	-	-	-	-	-	_
τι	τις	10	p	-	s	-	-	-	n	a	-
ἢ	ἢ	11	c	-	-	-	-	-	-	-	-
οὐδὲν	οὐδείς	12	p	-	s	-	-	-	n	a	-
ἀληθὲς	ἀληθής	13	a	-	s	-	-	-	n	a	-
εἰρήκασιν	ἐρῶ	14	v	3	p	r	i	a	-	-	-
,	punc1	15	u	-	-	-	-	-	-	-	-
ὑμεῖς	σύ	16	p	-	p	-	-	-	m	n	-
δέ	δέ	17	c	-	-	-	-	-	-	-	-
μου	ἐγώ	18	p	1	s	-	-	-	m	g	-
ἀκούσεσθε	ἀκούω	19	v	2	p	f	i	m	-	-	-
πᾶσαν	πᾶς	20	a	-	s	-	-	-	f	a	-
τὴν	ὁ	21	l	-	s	-	-	-	f	a	-
ἀλήθειαν	ἀλήθεια	22	n	-	s	-	-	-	f	a	-
—	—	23	u	-	-	-	-	-	-	-	-
οὐ	οὐ	24	d	-	-	-	-	-	-	-	_
μέντοι	μέντοι	25	d	-	-	-	-	-	-	-	-
μὰ	μά	26	r	-	-	-	-	-	-	-	-
Δία	Ζεύς	27	n	-	s	-	-	-	m	a	-
,	punc1	28	u	-	-	-	-	-	-	-	-
ὦ	ὦ	29	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	30	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	31	n	-	p	-	-	-	m	v	-
,	punc1	32	u	-	-	-	-	-	-	-	-
κεκαλλιεπημένους	καλλιεπέομαι	33	v	-	p	r	p	e	m	a	-
γε	γε	34	d	-	-	-	-	-	-	-	-
λόγους	λόγος	35	n	-	p	-	-	-	m	a	-
,	punc1	36	u	-	-	-	-	-	-	-	-
ὥσπερ	ὥσπερ	37	c	-	-	-	-	-	-	-	-
οἱ	ὁ	38	l	-	p	-	-	-	m	n	-
τούτων	οὗτος	39	p	-	p	-	-	-	m	g	-
,	punc1	40	u	-	-	-	-	-	-	-	-
ῥήμασί	ῥῆμα	41	n	-	p	-	-	-	n	d	-
τε	τε	42	d	-	-	-	-	-	-	-	-
καὶ	καί	43	c	-	-	-	-	-	-	-	-
ὀνόμασιν	ὄνομα	44	n	-	p	-	-	-	n	d	-
οὐ	οὐ	45	d	-	-	-	-	-	-	-	_
-δὲ	δέ	46	c	-	-	-	-	-	-	-	-
κεκοσμημένους	κοσμέω	47	v	-	p	r	p	e	m	a	-
,	punc1	48	u	-	-	-	-	-	-	-	-
ἀλλʼ	ἀλλά	49	c	-	-	-	-	-	-	-	-
ἀκούσεσθε	ἀκούω	50	v	2	p	f	i	m	-	-	-
εἰκῇ	εἰκῇ	51	d	-	-	-	-	-	-	-	-
λεγόμενα	λέγω3	52	v	-	p	p	p	e	n	a	-
τοῖς	ὁ	53	l	-	p	-	-	-	n	d	-
ἐπιτυχοῦσιν	ἐπιτυγχάνω	54	v	-	p	a	p	a	n	d	-
ὀνόμασιν	ὄνομα	55	n	-	p	-	-	-	n	d	-
—	—	56	u	-	-	-	-	-	-	-	-
πιστεύω	πιστεύω	57	v	1	s	p	i	a	-	-	-
γὰρ	γάρ	58	d	-	-	-	-	-	-	-	-
δίκαια	δίκαιος	59	a	-	p	-	-	-	n	a	-
εἶναι	εἰμί	60	v	-	-	p	n	a	-	-	-
ἃ	ὅς	61	p	-	p	-	-	-	n	a	-
λέγω	λέγω3	62	v	1	s	p	i	a	-	-	-
—	—	63	u	-	-	-	-	-	-	-	-
καὶ	καί	64	d	-	-	-	-	-	-	-	-
μηδεὶς	μηδείς	65	p	-	s	-	-	-	m	n	-
ὑμῶν	σύ	66	p	-	p	-	-	-	m	g	-
προσδοκησάτω	προσδοκέω	67	v	3	s	a	m	a	-	-	-
ἄλλως	ἄλλως	68	d	-	-	-	-	-	-	-	-
·	punc1	69	u	-	-	-	-	-	-	-	-

οὐ	οὐ	1	d	-	-	-	-	-	-	-	_
-δὲ	δέ	2	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	3	d	-	-	-	-	-	-	-	-
ἂν	ἄν1	4	d	-	-	-	-	-	-	-	-
δήπου	δήπου	5	d	-	-	-	-	-	-	-	-
πρέποι	πρέπω	6	v	3	s	p	o	a	-	-	-
,	punc1	7	u	-	-	-	-	-	-	-	-
ὦ	ὦ	8	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	9	n	-	p	-	-	-	m	v	-
,	punc1	10	u	-	-	-	-	-	-	-	-
τῇδε	ὅδε	11	a	-	s	-	-	-	f	d	_
τῇ	ὁ	12	l	-	s	-	-	-	f	d	-
ἡλικίᾳ	ἡλικία	13	n	-	s	-	-	-	f	d	-
ὥσπερ	ὥσπερ	14	c	-	-	-	-	-	-	-	-
μειρακίῳ	μειράκιον	15	n	-	s	-	-	-	n	d	-
πλάττοντι	πλάσσω	16	v	-	s	p	p	a	m	d	-
λόγους	λόγος	17	n	-	p	-	-	-	m	a	-
εἰς	εἰς	18	r	-	-	-	-	-	-	-	-
ὑμᾶς	σύ	19	p	2	p	-	-	-	-	a	-
εἰσιέναι	εἴσειμι	20	v	-	-	p	n	a	-	-	-
.	punc1	21	u	-	-	-	-	-	-	-	-

καὶ	καί	1	d	-	-	-	-	-	-	-	-
μέντοι	μέντοι	2	d	-	-	-	-	-	-	-	-
καὶ	καί	3	d	-	-	-	-	-	-	-	-
πάνυ	πάνυ	4	d	-	-	-	-	-	-	-	-
,	punc1	5	u	-	-	-	-	-	-	-	-
ὦ	ὦ	6	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	7	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	8	n	-	p	-	-	-	m	v	-
,	punc1	9	u	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	10	p	-	s	-	-	-	n	a	-
ὑμῶν	σύ	11	p	-	p	-	-	-	m	g	-
δέομαι	δέομαι	12	v	1	s	p	i	e	-	-	-
καὶ	καί	13	c	-	-	-	-	-	-	-	-
παρίεμαι	παρίημι	14	v	1	s	p	i	e	-	-	-
·	punc1	15	u	-	-	-	-	-	-	-	-

ἐὰν	ἐάν	1	c	-	-	-	-	-	-	-	-
διὰ	διά	2	r	-	-	-	-	-	-	-	-
τῶν	ὁ	3	l	-	p	-	-	-	m	g	-
αὐτῶν	αὐτός	4	a	-	p	-	-	-	m	g	_
λόγων	λόγος	5	n	-	p	-	-	-	m	g	-
ἀκούητέ	ἀκούω	6	v	2	p	p	s	a	-	-	-
μου	ἐγώ	7	p	1	s	-	-	-	m	g	-
ἀπολογουμένου	ἀπολογέομαι	8	v	-	s	p	p	e	m	g	-
διʼ	διά	9	r	-	-	-	-	-	-	-	-
ὧνπερ	ὅς	10	p	-	p	-	-	-	m	g	-
εἴωθα	ἔθω	11	v	1	s	r	i	a	-	-	-
λέγειν	λέγω2	12	v	-	-	p	n	a	-	-	-
καὶ	καί	13	d	-	-	-	-	-	-	-	-
ἐν	ἐν	14	r	-	-	-	-	-	-	-	-
ἀγορᾷ	ἀγορά	15	n	-	s	-	-	-	f	d	-
ἐπὶ	ἐπί	16	r	-	-	-	-	-	-	-	-
τῶν	ὁ	17	l	-	p	-	-	-	f	g	-
τραπεζῶν	τράπεζα	18	n	-	p	-	-	-	f	g	-
,	punc1	19	u	-	-	-	-	-	-	-	-
ἵνα	ἵνα	20	c	-	-	-	-	-	-	-	-
ὑμῶν	σύ	21	p	-	p	-	-	-	m	g	-
πολλοὶ	πολύς	22	a	-	p	-	-	-	m	n	-
ἀκηκόασι	ἀκούω	23	v	3	p	r	i	a	-	-	-
,	punc1	24	u	-	-	-	-	-	-	-	-
καὶ	καί	25	c	-	-	-	-	-	-	-	-
ἄλλοθι	ἄλλοθι	26	d	-	-	-	-	-	-	-	-
,	punc1	27	u	-	-	-	-	-	-	-	-
μή	μή	28	d	-	-	-	-	-	-	-	-
-τε	τε	29	d	-	-	-	-	-	-	-	-
θαυμάζειν	θαυμάζω	30	v	-	-	p	n	a	-	-	-
μή	μή	31	d	-	-	-	-	-	-	-	-
-τε	τε	32	c	-	-	-	-	-	-	-	-
θορυβεῖν	θορυβέω	33	v	-	-	p	n	a	-	-	-
τούτου	οὗτος	34	p	-	s	-	-	-	n	g	-
ἕνεκα	ἕνεκα	35	r	-	-	-	-	-	-	-	-
.	punc1	36	u	-	-	-	-	-	-	-	-

ἔχει	ἔχω	1	v	3	s	p	i	a	-	-	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
οὑτωσί	οὑτωσί	3	d	-	-	-	-	-	-	-	-
.	punc1	4	u	-	-	-	-	-	-	-	-

νῦν	νῦν	1	d	-	-	-	-	-	-	-	-
ἐγὼ	ἐγώ	2	p	1	s	-	-	-	m	n	-
πρῶτον	πρῶτος	3	a	-	s	-	-	-	n	a	-
ἐπὶ	ἐπί	4	r	-	-	-	-	-	-	-	-
δικαστήριον	δικαστήριον	5	n	-	s	-	-	-	n	a	-
ἀναβέβηκα	ἀναβαίνω	6	v	1	s	r	i	a	-	-	-
,	punc1	7	u	-	-	-	-	-	-	-	-
ἔτη	ἔτος	8	n	-	p	-	-	-	n	a	-
γεγονὼς	γίγνομαι	9	v	-	s	r	p	a	m	n	-
ἑβδομήκοντα	ἑβδομήκοντα	10	a	-	_	-	-	-	_	_	_
·	punc1	11	u	-	-	-	-	-	-	-	-

ἀτεχνῶς	ἀτεχνῶς	1	d	-	-	-	-	-	-	-	-
οὖν	οὖν	2	d	-	-	-	-	-	-	-	-
ξένως	ξένος	3	d	-	-	-	-	-	-	-	p
ἔχω	ἔχω	4	v	1	s	p	i	a	-	-	-
τῆς	ὁ	5	l	-	s	-	-	-	f	g	-
ἐνθάδε	ἐνθάδε	6	d	-	-	-	-	-	-	-	-
λέξεως	λέξις	7	n	-	s	-	-	-	f	g	-
.	punc1	8	u	-	-	-	-	-	-	-	-

ὥσπερ	ὥσπερ	1	c	-	-	-	-	-	-	-	-
οὖν	οὖν	2	d	-	-	-	-	-	-	-	-
ἄν	ἄν1	3	d	-	-	-	-	-	-	-	-
,	punc1	4	u	-	-	-	-	-	-	-	-
εἰ	εἰ	5	c	-	-	-	-	-	-	-	-
τῷ	ὁ	6	l	-	s	-	-	-	n	d	-
ὄντι	εἰμί	7	v	-	s	p	p	a	n	d	-
ξένος	ξένος2	8	a	-	s	-	-	-	m	n	-
ἐτύγχανον	τυγχάνω	9	v	1	s	i	i	a	-	-	-
ὤν	εἰμί	10	v	-	s	p	p	a	m	n	-
,	punc1	11	u	-	-	-	-	-	-	-	-
συνεγιγνώσκετε	συγγιγνώσκω	12	v	2	p	i	i	a	-	-	-
δήπου	δήπου	13	d	-	-	-	-	-	-	-	-
ἄν	ἄν1	14	d	-	-	-	-	-	-	-	-
μοι	ἐγώ	15	p	1	s	-	-	-	m	d	-
εἰ	εἰ	16	c	-	-	-	-	-	-	-	-
ἐν	ἐν	17	r	-	-	-	-	-	-	-	-
ἐκείνῃ	ἐκεῖνος	18	a	-	s	-	-	-	f	d	_
τῇ	ὁ	19	l	-	s	-	-	-	f	d	-
φωνῇ	φωνή	20	n	-	s	-	-	-	f	d	-
τε	τε	21	d	-	-	-	-	-	-	-	-
καὶ	καί	22	c	-	-	-	-	-	-	-	-
τῷ	ὁ	23	l	-	s	-	-	-	m	d	-
τρόπῳ	τρόπος	24	n	-	s	-	-	-	m	d	-
ἔλεγον	λέγω3	25	v	1	s	i	i	a	-	-	-
ἐν	ἐν	26	r	-	-	-	-	-	-	-	-
οἷσπερ	ὅς	27	p	-	p	-	-	-	m	d	-
ἐτεθράμμην	τρέφω	28	v	1	s	l	i	e	-	-	-
,	punc1	29	u	-	-	-	-	-	-	-	-
καὶ	καί	30	d	-	-	-	-	-	-	-	-
δὴ	δή	31	d	-	-	-	-	-	-	-	-
καὶ	καί	32	d	-	-	-	-	-	-	-	-
νῦν	νῦν	33	d	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	34	p	-	s	-	-	-	n	a	-
ὑμῶν	σύ	35	p	-	p	-	-	-	m	g	-
δέομαι	δέομαι	36	v	1	s	p	i	e	-	-	-
δίκαιον	δίκαιος	37	a	-	s	-	-	-	n	a	-
,	punc1	38	u	-	-	-	-	-	-	-	-
ὥς	ὡς	39	c	-	-	-	-	-	-	-	-
γέ	γε	40	d	-	-	-	-	-	-	-	-
μοι	ἐγώ	41	p	1	s	-	-	-	m	d	-
δοκῶ	δοκέω	42	v	1	s	p	i	a	-	-	-
,	punc1	43	u	-	-	-	-	-	-	-	-
τὸν	ὁ	44	l	-	s	-	-	-	m	a	-
μὲν	μέν	45	d	-	-	-	-	-	-	-	-
τρόπον	τρόπος	46	n	-	s	-	-	-	m	a	-
τῆς	ὁ	47	l	-	s	-	-	-	f	g	-
λέξεως	λέξις	48	n	-	s	-	-	-	f	g	-
ἐᾶν	ἐάω	49	v	-	-	p	n	a	-	-	-
—	—	50	u	-	-	-	-	-	-	-	-
ἴσως	ἴσως	51	d	-	-	-	-	-	-	-	-
μὲν	μέν	52	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	53	d	-	-	-	-	-	-	-	-
χείρων	χείρων	54	a	-	s	-	-	-	m	n	c
,	punc1	55	u	-	-	-	-	-	-	-	-
ἴσως	ἴσως	56	d	-	-	-	-	-	-	-	-
δὲ	δέ	57	c	-	-	-	-	-	-	-	-
βελτίων	βελτίων	58	a	-	s	-	-	-	m	n	c
ἂν	ἄν1	59	d	-	-	-	-	-	-	-	-
εἴη	ἐάω	60	v	3	s	i	i	a	-	-	-
—	—	61	u	-	-	-	-	-	-	-	-
αὐτὸ	αὐτός	62	a	-	s	-	-	-	n	a	_
δὲ	δέ	63	c	-	-	-	-	-	-	-	-
τοῦτο	οὗτος	64	p	-	s	-	-	-	n	a	-
σκοπεῖν	σκοπέω	65	v	-	-	p	n	a	-	-	-
καὶ	καί	66	c	-	-	-	-	-	-	-	-
τούτῳ	οὗτος	67	p	-	s	-	-	-	n	d	-
τὸν	ὁ	68	l	-	s	-	-	-	m	a	-
νοῦν	νόος	69	n	-	s	-	-	-	m	a	-
προσέχειν	προσέχω	70	v	-	-	p	n	a	-	-	-
,	punc1	71	u	-	-	-	-	-	-	-	-
εἰ	εἰ	72	c	-	-	-	-	-	-	-	-
δίκαια	δίκαιος	73	a	-	p	-	-	-	n	a	-
λέγω	λέγω3	74	v	1	s	p	i	a	-	-	-
ἢ	ἢ	75	c	-	-	-	-	-	-	-	-
μή	μή	76	d	-	-	-	-	-	-	-	-
·	punc1	77	u	-	-	-	-	-	-	-	-

δικαστοῦ	δικαστής	1	n	-	s	-	-	-	m	g	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
γὰρ	γάρ	3	d	-	-	-	-	-	-	-	-
αὕτη	οὗτος	4	p	-	s	-	-	-	f	n	-
ἀρετή	ἀρετή	5	n	-	s	-	-	-	f	n	-
,	punc1	6	u	-	-	-	-	-	-	-	-
ῥήτορος	ῥήτωρ	7	n	-	s	-	-	-	m	g	-
δὲ	δέ	8	c	-	-	-	-	-	-	-	-
τ-	ὁ	9	l	-	s	-	-	-	n	a	-
ἀληθῆ	ἀληθής	10	a	-	p	-	-	-	n	a	-
λέγειν	λέγω2	11	v	-	-	p	n	a	-	-	-
.	punc1	12	u	-	-	-	-	-	-	-	-

πρῶτον	πρῶτος	1	a	-	s	-	-	-	n	a	-
μὲν	μέν	2	d	-	-	-	-	-	-	-	-
οὖν	οὖν	3	d	-	-	-	-	-	-	-	-
δίκαιός	δίκαιος	4	a	-	s	-	-	-	m	n	-
εἰμι	εἰμί	5	v	1	s	p	i	a	-	-	-
ἀπολογήσασθαι	ἀπολογέομαι	6	v	-	-	a	n	m	-	-	-
,	punc1	7	u	-	-	-	-	-	-	-	-
ὦ	ὦ	8	i	-	-	-	-	-	-	-	-
ἄνδρες	ἀνήρ	9	n	-	p	-	-	-	m	v	-
Ἀθηναῖοι	Ἀθηναῖος	10	n	-	p	-	-	-	m	v	-
,	punc1	11	u	-	-	-	-	-	-	-	-
πρὸς	πρός	12	r	-	-	-	-	-	-	-	-
τὰ	ὁ	13	l	-	p	-	-	-	n	a	-
πρῶτά	πρῶτος	14	a	-	p	-	-	-	n	a	-
μου	ἐγώ	15	p	1	s	-	-	-	m	g	-
ψευδῆ	ψευδής	16	a	-	p	-	-	-	n	a	-
κατηγορημένα	κατηγορέω	17	v	-	p	r	p	e	n	a	-
καὶ	καί	18	c	-	-	-	-	-	-	-	-
τοὺς	ὁ	19	l	-	p	-	-	-	m	a	-
πρώτους	πρῶτος	20	a	-	p	-	-	-	m	a	-
κατηγόρους	κατήγορος	21	a	-	p	-	-	-	m	a	-
,	punc1	22	u	-	-	-	-	-	-	-	-
ἔπειτα	ἔπειτα	23	d	-	-	-	-	-	-	-	-
δὲ	δέ	24	c	-	-	-	-	-	-	-	-
πρὸς	πρός	25	r	-	-	-	-	-	-	-	-
τὰ	ὁ	26	l	-	p	-	-	-	n	a	-
ὕστερον	ὕστερος	27	a	-	s	-	-	-	n	a	-
καὶ	καί	28	c	-	-	-	-	-	-	-	-
τοὺς	ὁ	29	l	-	p	-	-	-	m	a	-
ὑστέρους	ὕστερος	30	a	-	p	-	-	-	m	a	-
.	punc1	31	u	-	-	-	-	-	-	-	-

ἐμοῦ	ἐγώ	1	p	1	s	-	-	-	m	g	-
γὰρ	γάρ	2	d	-	-	-	-	-	-	-	-
πολλοὶ	πολύς	3	a	-	p	-	-	-	m	n	-
κατήγοροι	κατήγορος	4	a	-	p	-	-	-	m	n	-
γεγόνασι	γίγνομαι	5	v	3	p	r	i	a	-	-	-
πρὸς	πρός	6	r	-	-	-	-	-	-	-	-
ὑμᾶς	σύ	7	p	2	p	-	-	-	-	a	-
καὶ	καί	8	d	-	-	-	-	-	-	-	-
πάλαι	πάλαι	9	d	-	-	-	-	-	-	-	-
πολλὰ	πολύς	10	a	-	p	-	-	-	n	a	-
ἤδη	ἤδη	11	d	-	-	-	-	-	-	-	-
ἔτη	ἔτος	12	n	-	p	-	-	-	n	a	-
καὶ	καί	13	c	-	-	-	-	-	-	-	-
οὐδὲν	οὐδείς	14	p	-	s	-	-	-	n	a	-
ἀληθὲς	ἀληθής	15	a	-	s	-	-	-	n	a	-
λέγοντες	λέγω3	16	v	-	p	p	p	a	m	n	-
,	punc1	17	u	-	-	-	-	-	-	-	-
οὓς	ὅς	18	p	-	p	-	-	-	m	a	-
ἐγὼ	ἐγώ	19	p	1	s	-	-	-	m	n	-
μᾶλλον	μᾶλλον	20	d	-	-	-	-	-	-	-	-
φοβοῦμαι	φοβέω	21	v	1	s	p	i	e	-	-	-
ἢ	ἢ	22	c	-	-	-	-	-	-	-	-
τοὺς	ὁ	23	l	-	p	-	-	-	m	a	-
ἀμφὶ	ἀμφί	24	r	-	-	-	-	-	-	-	-
Ἄνυτον	Ἄνυτος	25	n	-	s	-	-	-	m	a	-
,	punc1	26	u	-	-	-	-	-	-	-	-
καίπερ	καίπερ	27	d	-	-	-	-	-	-	-	-
ὄντας	εἰμί	28	v	-	p	p	p	a	m	a	-
καὶ	καί	29	d	-	-	-	-	-	-	-	-
τούτους	οὗτος	30	p	-	p	-	-	-	m	a	-
δεινούς	δεινός	31	a	-	p	-	-	-	m	a	-
·	punc1	32	u	-	-	-	-	-	-	-	-

